league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,dist_centroide
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,34.0,1988.0,34.0,34.0,3060.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,89.5,34,90.0,34,0,,3,2.56,81.0,19.0,62.0,1.82,0.57,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,0.0,19.0,0.56,98.0,79.0,80.6,27.0,6.0,1.0,17.0,50.0,4.0,2.0,1.0,1.0,33.3,True,alta,2,2.582081786023592
ITA-Serie A,2324,Juventus,Wojciech Szczęsny,POL,GK,33.0,1990.0,35.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,92.1,35,90.0,35,0,,1,1.83,49.0,30.0,19.0,0.54,-0.79,0.0,1.0,2.0,0.0,0.0,1.0,0.0,,,0.0,30.0,0.86,111.0,81.0,73.0,17.0,13.0,5.0,14.0,40.0,3.0,2.0,1.0,0.0,33.3,True,alta,2,1.1823037208362757
ITA-Serie A,2324,Lazio,Christos Mandas,GRE,GK,21.0,2001.0,9.0,8.0,721.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,80.0,21.1,8,90.0,8,1,1.0,26,2.11,14.0,6.0,8.0,1.0,0.93,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,0.0,6.0,0.75,29.0,23.0,79.3,6.0,1.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,,False,baja,2,2.7260586714708155
ITA-Serie A,2324,Lazio,Ivan Provedel,ITA,GK,29.0,1994.0,30.0,30.0,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,78.9,30,90.0,29,0,,2,1.4,35.0,33.0,2.0,0.07,-0.93,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,0.0,33.0,1.1,119.0,86.0,72.3,12.0,6.0,12.0,9.0,30.0,3.0,2.0,0.0,1.0,0.0,True,alta,0,1.6043813780870968
ITA-Serie A,2324,Lecce,Wladimiro Falcone,ITA,GK,28.0,1995.0,38.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,100.0,38,90.0,38,0,,0,1.0,32.0,54.0,-22.0,-0.58,,0.0,0.0,5.0,0.0,0.0,1.0,0.0,,,0.0,54.0,1.42,172.0,121.0,68.6,8.0,14.0,16.0,5.0,13.2,6.0,5.0,1.0,0.0,16.7,True,alta,0,1.0255072071883777
ITA-Serie A,2324,Milan,Marco Sportiello,ITA,GK,31.0,1992.0,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,18.4,7,90.0,7,0,,19,1.71,16.0,11.0,5.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,11.0,1.57,34.0,23.0,67.6,3.0,3.0,1.0,1.0,14.3,1.0,1.0,0.0,0.0,0.0,False,baja,1,1.9134239034982445
ITA-Serie A,2324,Milan,Mike Maignan,FRA,GK,28.0,1995.0,29.0,29.0,2609.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03,0.03,0.0,0.03,29.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,76.3,29,90.0,28,0,,2,2.14,57.0,34.0,23.0,0.79,0.35,0.0,1.0,5.0,0.0,0.0,1.0,0.0,,,0.0,34.0,1.17,121.0,87.0,71.9,19.0,5.0,5.0,11.0,37.9,7.0,7.0,0.0,0.0,0.0,True,alta,2,1.8424834472342153
ITA-Serie A,2324,Monza,Alessandro Sorrentino,ITA,GK,21.0,2002.0,7.0,5.0,548.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,78.0,16.0,5,90.0,5,2,49.0,31,1.0,8.0,16.0,-8.0,-1.31,-1.19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,16.0,2.63,32.0,16.0,50.0,0.0,1.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,False,baja,1,5.586924704776896
ITA-Serie A,2324,Monza,Michele Di Gregorio,ITA,GK,26.0,1997.0,33.0,33.0,2872.0,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,87.0,84.0,33,87.0,31,0,,1,1.33,31.0,35.0,-4.0,-0.13,1.19,0.0,0.0,4.0,0.0,0.0,2.0,0.0,,,0.0,35.0,1.1,155.0,124.0,77.4,11.0,11.0,11.0,12.0,36.4,5.0,3.0,2.0,0.0,40.0,True,alta,2,1.9318282390909112
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26.0,1997.0,31.0,31.0,2773.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,81.1,31,89.0,30,0,,1,1.39,49.0,40.0,9.0,0.29,0.57,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,0.0,40.0,1.3,102.0,62.0,60.8,10.0,13.0,8.0,5.0,16.1,4.0,2.0,2.0,0.0,50.0,True,alta,1,2.375845495310097
