league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
GER-Bundesliga,2324,Gladbach,Joe Scally,USA,"DF,MF",20.0,2002.0,31.0,25.0,2236.0,24.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,0.04,0.16,0.2,0.04,0.2,24.8,1.0,11.0,1.0,9.1,0.44,0.04,0.09,1.0,0.0,0.0,72.0,73.1,25,85.0,19,6,20.0,3,1.06,42.0,50.0,-8.0,-0.32,0.01,0.0,16.0,46.0,1.0,46.0,19.0,26.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Carrilero,1.9769469829715787
GER-Bundesliga,2324,Gladbach,Julian Weigl,GER,MF,27.0,1995.0,31.0,31.0,2764.0,30.7,2.0,3.0,5.0,0.0,2.0,2.0,10.0,0.0,0.07,0.1,0.16,0.0,0.1,30.7,2.0,19.0,6.0,31.6,0.62,0.2,0.11,0.33,2.0,2.0,89.0,90.3,31,89.0,29,0,,0,0.97,53.0,63.0,-10.0,-0.33,-0.02,0.0,33.0,30.0,0.0,3.0,47.0,41.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,1.767607091462403
GER-Bundesliga,2324,Gladbach,Ko Itakura,JPN,"DF,MF",26.0,1997.0,20.0,18.0,1596.0,17.7,3.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,0.17,0.0,0.17,0.17,0.17,17.7,3.0,21.0,7.0,33.3,1.18,0.39,0.14,0.43,0.0,0.0,80.0,52.2,18,87.0,13,2,20.0,0,0.8,23.0,35.0,-12.0,-0.68,-0.74,0.0,28.0,4.0,0.0,5.0,23.0,20.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,3.019403524167432
GER-Bundesliga,2324,Gladbach,Luca Netz,GER,"MF,DF",20.0,2003.0,30.0,25.0,2225.0,24.7,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16,0.16,0.0,0.16,24.7,0.0,17.0,5.0,29.4,0.69,0.2,0.0,0.0,0.0,0.0,74.0,72.7,25,82.0,14,5,33.0,1,1.0,40.0,42.0,-2.0,-0.08,0.89,0.0,26.0,16.0,1.0,74.0,18.0,25.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Carrilero,1.3225038841212693
GER-Bundesliga,2324,Gladbach,Manu Koné,FRA,MF,22.0,2001.0,22.0,18.0,1561.0,17.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.06,0.0,0.06,0.06,0.06,17.3,1.0,24.0,8.0,33.3,1.38,0.46,0.04,0.13,0.0,0.0,71.0,51.0,18,83.0,7,4,19.0,1,1.0,25.0,30.0,-5.0,-0.29,0.07,0.0,28.0,36.0,3.0,3.0,14.0,26.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Pivote destructor,2.4275190641026945
GER-Bundesliga,2324,Gladbach,Nathan N'Goumou,CMR,"MF,FW",23.0,2000.0,32.0,14.0,1385.0,15.4,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,0.32,0.13,0.45,0.32,0.45,15.4,5.0,30.0,12.0,40.0,1.95,0.78,0.17,0.42,0.0,0.0,43.0,45.3,14,70.0,0,18,23.0,2,0.94,27.0,31.0,-4.0,-0.26,0.12,0.0,13.0,17.0,6.0,29.0,5.0,23.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,2.226441567193138
GER-Bundesliga,2324,Gladbach,Robin Hack,GER,"FW,MF",24.0,1998.0,29.0,14.0,1348.0,15.0,10.0,2.0,12.0,10.0,0.0,0.0,2.0,0.0,0.67,0.13,0.8,0.67,0.8,15.0,10.0,43.0,22.0,51.2,2.87,1.47,0.23,0.45,0.0,0.0,46.0,44.1,14,75.0,3,15,20.0,3,0.97,22.0,26.0,-4.0,-0.27,0.1,0.0,17.0,22.0,9.0,44.0,14.0,9.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Interior ofensivo,2.277307785118729
GER-Bundesliga,2324,Gladbach,Rocco Reitz,GER,MF,21.0,2002.0,34.0,24.0,2136.0,23.7,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,0.25,0.13,0.38,0.25,0.38,23.7,6.0,34.0,14.0,41.2,1.43,0.59,0.18,0.43,0.0,0.0,63.0,69.8,24,80.0,7,10,21.0,0,1.0,39.0,45.0,-6.0,-0.25,0.23,0.0,25.0,45.0,2.0,13.0,40.0,37.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Interior de conducción,3.2433169874609913
GER-Bundesliga,2324,Gladbach,Stefan Lainer,AUT,"MF,DF",30.0,1992.0,15.0,8.0,751.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.0,0.12,8.3,0.0,3.0,0.0,0.0,0.36,0.0,0.0,,0.0,0.0,50.0,24.5,8,73.0,2,7,24.0,2,0.8,13.0,18.0,-5.0,-0.6,-0.37,0.0,8.0,7.0,1.0,19.0,5.0,16.0,,,0.0,,,,,,,,,,,,,,,,False,baja,0,Carrilero,2.2020626604643136
GER-Bundesliga,2324,Gladbach,Tomáš Čvančara,CZE,"FW,MF",22.0,2000.0,21.0,7.0,896.0,10.0,4.0,1.0,5.0,3.0,1.0,2.0,4.0,0.0,0.4,0.1,0.5,0.3,0.4,10.0,4.0,36.0,13.0,36.1,3.62,1.31,0.11,0.31,1.0,2.0,43.0,29.3,7,75.0,1,14,27.0,0,0.9,19.0,23.0,-4.0,-0.4,-0.11,0.0,9.0,13.0,4.0,4.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,False,baja,2,Interior ofensivo,3.2711919305993384
