league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
FRA-Ligue 1,2526,Auxerre,Donovan Léon,GUF,GK,32.0,1992.0,29.0,29.0,2460.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,85.0,80.4,29,85.0,26,0,,0,1.03,24.0,35.0,-11.0,-0.4,-0.55,0.0,3.0,7.0,0.0,0.0,0.0,2.0,,,0.0,35.0,1.28,130.0,95.0,73.1,7.0,9.0,13.0,9.0,31.0,3.0,2.0,1.0,0.0,33.3,True,alta,2,Portero de área,1.6128829328884653
FRA-Ligue 1,2526,Auxerre,Théo De Percin,MTQ,GK,24.0,2001.0,8.0,5.0,598.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,75.0,19.5,5,90.0,5,3,49.0,26,1.0,10.0,9.0,1.0,0.15,0.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,9.0,1.35,24.0,15.0,62.5,1.0,1.0,3.0,1.0,20.0,2.0,1.0,1.0,0.0,50.0,False,baja,0,Portero muy exigido,2.173058121351738
FRA-Ligue 1,2526,Brest,Grégoire Coudert,FRA,GK,26.0,1999.0,25.0,24.0,2192.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,88.0,71.6,24,90.0,24,1,32.0,9,1.28,34.0,40.0,-6.0,-0.25,0.38,0.0,1.0,8.0,0.0,0.0,0.0,0.0,,,0.0,40.0,1.64,116.0,76.0,65.5,9.0,5.0,10.0,6.0,25.0,4.0,3.0,1.0,0.0,25.0,True,alta,2,Portero de área,1.3695874624516167
FRA-Ligue 1,2526,Brest,Radosław Majecki,POL,GK,25.0,1999.0,10.0,10.0,864.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,86.0,28.2,10,86.0,9,0,,16,0.7,9.0,15.0,-6.0,-0.62,-0.38,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,18.0,1.87,44.0,26.0,59.1,1.0,4.0,5.0,3.0,30.0,1.0,1.0,0.0,0.0,0.0,False,baja,2,Portero de área,2.470771436421538
FRA-Ligue 1,2526,Le Havre,Mory Diaw,SEN,GK,32.0,1993.0,30.0,30.0,2655.0,29.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,29.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,86.8,30,89.0,29,0,,1,1.0,28.0,41.0,-13.0,-0.44,-0.66,0.0,0.0,6.0,0.0,0.0,2.0,0.0,,,0.0,41.0,1.39,121.0,80.0,66.1,6.0,12.0,12.0,7.0,23.3,8.0,6.0,2.0,0.0,25.0,True,alta,2,Portero de área,1.6470027655550923
FRA-Ligue 1,2526,Lens,Robin Risser,FRA,GK,20.0,2004.0,33.0,33.0,2970.0,33.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,33.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,97.1,33,90.0,33,0,,1,2.03,62.0,35.0,27.0,0.82,-3.18,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,,0.0,35.0,1.06,111.0,76.0,68.5,21.0,4.0,8.0,11.0,33.3,6.0,3.0,2.0,1.0,40.0,True,alta,1,Portero de bloque sólido,1.3115553266811548
FRA-Ligue 1,2526,Lille,Berke Özer,TUR,GK,25.0,2000.0,32.0,32.0,2834.0,31.5,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.03,0.03,0.0,0.03,31.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,89.0,92.6,32,89.0,31,0,,0,1.91,50.0,34.0,16.0,0.51,0.91,0.0,0.0,13.0,0.0,0.0,0.0,2.0,,,0.0,34.0,1.08,105.0,70.0,67.6,18.0,7.0,7.0,13.0,40.6,3.0,1.0,1.0,1.0,50.0,True,alta,1,Portero de bloque sólido,2.0974849979644707
FRA-Ligue 1,2526,Lorient,Yvon Mvogo,SUI,GK,31.0,1994.0,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,91.2,31,90.0,31,0,,0,1.35,43.0,43.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,,,0.0,43.0,1.39,119.0,76.0,63.9,10.0,12.0,9.0,6.0,19.4,5.0,4.0,0.0,1.0,0.0,True,alta,2,Portero de área,1.5031593223156636
FRA-Ligue 1,2526,Lyon,Dominik Greif,SVK,GK,28.0,1997.0,29.0,29.0,2610.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,0.03,0.0,0.03,29.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,85.3,29,90.0,29,0,,4,1.72,47.0,37.0,10.0,0.34,-0.26,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,0.0,37.0,1.28,115.0,77.0,67.8,15.0,5.0,9.0,11.0,37.9,5.0,2.0,3.0,0.0,60.0,True,alta,2,Portero de área,1.2991536465005216
FRA-Ligue 1,2526,Lyon,Rémy Descamps,FRA,GK,29.0,1996.0,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,90.0,14.7,5,90.0,5,0,,24,2.0,6.0,3.0,3.0,0.6,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,3.0,0.6,17.0,14.0,82.4,3.0,1.0,1.0,4.0,80.0,0.0,0.0,0.0,0.0,,False,baja,1,Portero de bloque sólido,4.7702224328066345
