league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,entrena,confianza,cluster,perfil,dist_centroide
ESP-La Liga,2526,Mallorca,Jan Virgili,ESP,"MF,FW",19.0,2006.0,31.0,19.0,1792.0,19.9,2.0,4.0,6.0,2.0,0.0,0.0,0.0,1.0,0.1,0.2,0.3,0.1,0.3,19.9,2.0,32.0,16.0,50.0,1.61,0.8,0.06,0.13,0.0,0.0,58.0,52.4,19,79.0,5,12,24.0,0,1.13,28.0,31.0,-3.0,-0.15,0.24,0.0,22.0,24.0,2.0,47.0,7.0,10.0,,,0.0,,,,,,,,,,,,,,,,True,alta,2,Extremo centrador,2.040671976760469
ESP-La Liga,2526,Mallorca,Mateo Joseph,ESP,"MF,FW",21.0,2003.0,29.0,19.0,1699.0,18.9,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.11,0.16,0.26,0.11,0.26,18.9,2.0,33.0,14.0,42.4,1.75,0.74,0.06,0.14,0.0,0.0,59.0,49.7,19,76.0,4,10,25.0,1,1.03,24.0,29.0,-5.0,-0.26,0.0,0.0,19.0,31.0,4.0,14.0,13.0,19.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,1.906311008452728
ESP-La Liga,2526,Mallorca,Pablo Torre,ESP,"MF,FW",22.0,2003.0,35.0,19.0,1599.0,17.8,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,0.23,0.23,0.45,0.23,0.45,17.8,4.0,25.0,12.0,48.0,1.41,0.68,0.16,0.33,0.0,0.0,46.0,46.8,19,69.0,1,16,18.0,3,1.09,23.0,27.0,-4.0,-0.23,0.07,0.0,29.0,36.0,1.0,90.0,9.0,17.0,,,0.0,,,,,,,,,,,,,,,,True,alta,4,Extremo regateador,2.4414145139746113
ESP-La Liga,2526,Mallorca,Takuma Asano,JPN,"MF,FW",30.0,1994.0,20.0,8.0,664.0,7.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0.14,0.14,7.4,1.0,17.0,2.0,11.8,2.3,0.27,0.06,0.5,0.0,0.0,33.0,19.4,8,60.0,0,12,15.0,9,1.2,7.0,11.0,-4.0,-0.54,-0.35,0.0,9.0,10.0,8.0,14.0,1.0,10.0,,,0.0,,,,,,,,,,,,,,,,False,baja,3,Extremo de presión,4.169463122268376
ESP-La Liga,2526,Mallorca,Vedat Muriqi,KVX,FW,31.0,1994.0,37.0,36.0,3128.0,34.8,23.0,1.0,24.0,18.0,5.0,7.0,4.0,1.0,0.66,0.03,0.69,0.52,0.55,34.8,23.0,114.0,50.0,43.9,3.28,1.44,0.2,0.46,5.0,7.0,85.0,91.5,36,86.0,26,1,17.0,0,1.11,44.0,51.0,-7.0,-0.2,0.72,0.0,42.0,64.0,15.0,6.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Nueve goleador,2.242655780993532
ESP-La Liga,2526,Mallorca,Zito Luvumbo,ANG,"FW,MF",23.0,2002.0,10.0,6.0,508.0,5.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.35,0.35,0.0,0.35,5.6,0.0,9.0,7.0,77.8,1.59,1.24,0.0,0.0,0.0,0.0,51.0,14.9,6,68.0,1,4,25.0,4,1.3,7.0,5.0,2.0,0.35,0.73,0.0,13.0,20.0,6.0,19.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,False,baja,1,Nueve de choque,6.662193422957769
ESP-La Liga,2526,Osasuna,Aimar Oroz,ESP,"MF,FW",23.0,2001.0,31.0,26.0,2139.0,23.8,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.08,0.08,0.0,0.08,23.8,0.0,29.0,4.0,13.8,1.22,0.17,0.0,0.0,0.0,0.0,69.0,62.5,26,77.0,6,5,25.0,0,1.23,25.0,29.0,-4.0,-0.17,-0.03,0.0,33.0,67.0,1.0,32.0,8.0,18.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,3.143910768470828
ESP-La Liga,2526,Osasuna,Ante Budimir,CRO,FW,34.0,1991.0,37.0,35.0,2938.0,32.6,17.0,0.0,17.0,11.0,6.0,8.0,3.0,0.0,0.52,0.0,0.52,0.34,0.34,32.6,17.0,103.0,41.0,39.8,3.16,1.26,0.17,0.41,6.0,8.0,79.0,85.9,35,83.0,18,2,22.0,0,1.14,34.0,38.0,-4.0,-0.12,0.25,0.0,52.0,36.0,22.0,4.0,6.0,16.0,,,0.0,,,,,,,,,,,,,,,,True,alta,1,Nueve de choque,1.7587389494721333
ESP-La Liga,2526,Osasuna,Raúl,ESP,FW,24.0,2000.0,36.0,6.0,1041.0,11.6,7.0,1.0,8.0,7.0,0.0,0.0,2.0,1.0,0.61,0.09,0.69,0.61,0.69,11.6,7.0,39.0,23.0,59.0,3.37,1.99,0.18,0.3,0.0,0.0,29.0,30.4,6,85.0,5,30,18.0,1,1.08,17.0,20.0,-3.0,-0.26,-0.15,0.0,12.0,15.0,7.0,9.0,7.0,13.0,,,0.0,,,,,,,,,,,,,,,,True,alta,0,Nueve goleador,3.107947914751629
ESP-La Liga,2526,Osasuna,Rubén García,ESP,"MF,FW",32.0,1993.0,35.0,28.0,2229.0,24.8,2.0,5.0,7.0,2.0,0.0,0.0,6.0,0.0,0.08,0.2,0.28,0.08,0.28,24.8,2.0,31.0,10.0,32.3,1.25,0.4,0.06,0.2,0.0,0.0,64.0,65.2,28,73.0,4,7,27.0,0,1.17,26.0,30.0,-4.0,-0.16,-0.01,0.0,36.0,27.0,1.0,154.0,17.0,31.0,,,0.0,,,,,,,,,,,,,,,,True,alta,3,Extremo de presión,2.239872669829583
